#####################################################
Current value: 0.7878457286528179, Current params: {'LEARNING_RATE': 0.0026800056214306787, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.03351181875892051, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7076650705641838, 'DAMPENING': 0.18144948900279517, 'GAMMA': 0.5378146346062777, 'STEP_SIZE': 40}
     Best value: 0.6681399430547442, Best params: {'LEARNING_RATE': 0.00414603872783174, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.013120342048625867, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.76000080803184, 'DAMPENING': 0.19837812429562085, 'GAMMA': 0.2795331463672612, 'STEP_SIZE': 42}

#####################################################
Current value: 0.734957795057978, Current params: {'LEARNING_RATE': 0.005652168266459191, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.009068203625885927, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.6789882510889049, 'DAMPENING': 0.19993583618937985, 'GAMMA': 0.16402719027760904, 'STEP_SIZE': 47}
     Best value: 0.6681399430547442, Best params: {'LEARNING_RATE': 0.00414603872783174, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.013120342048625867, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.76000080803184, 'DAMPENING': 0.19837812429562085, 'GAMMA': 0.2795331463672612, 'STEP_SIZE': 42}

#####################################################
Current value: 0.9457247086933681, Current params: {'LEARNING_RATE': 0.006014245054565072, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.050924620847654214, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.6218148645802732, 'DAMPENING': 0.19678277926278895, 'GAMMA': 0.2083848055959026, 'STEP_SIZE': 50}
     Best value: 0.6681399430547442, Best params: {'LEARNING_RATE': 0.00414603872783174, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.013120342048625867, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.76000080803184, 'DAMPENING': 0.19837812429562085, 'GAMMA': 0.2795331463672612, 'STEP_SIZE': 42}

#####################################################
Current value: 2.0992813876696994, Current params: {'LEARNING_RATE': 0.00570729653931823, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.020866310436737364, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.5058390779200803, 'DAMPENING': 0.15717939865488323, 'GAMMA': 0.16494949155894822, 'STEP_SIZE': 46}
     Best value: 0.6681399430547442, Best params: {'LEARNING_RATE': 0.00414603872783174, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.013120342048625867, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.76000080803184, 'DAMPENING': 0.19837812429562085, 'GAMMA': 0.2795331463672612, 'STEP_SIZE': 42}

#####################################################
Current value: 1.042265772819519, Current params: {'LEARNING_RATE': 0.0012970960374942778, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.009314340385816045, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7527983257016435, 'DAMPENING': 0.18002072355668094, 'GAMMA': 0.29579536314419713, 'STEP_SIZE': 40}
     Best value: 0.6681399430547442, Best params: {'LEARNING_RATE': 0.00414603872783174, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.013120342048625867, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.76000080803184, 'DAMPENING': 0.19837812429562085, 'GAMMA': 0.2795331463672612, 'STEP_SIZE': 42}

#####################################################
Current value: 0.6528640591672489, Current params: {'LEARNING_RATE': 0.004482056134733606, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.008871510910495246, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.6923071876203243, 'DAMPENING': 0.18130033339046972, 'GAMMA': 0.10266384612320159, 'STEP_SIZE': 47}
     Best value: 0.6528640591672489, Best params: {'LEARNING_RATE': 0.004482056134733606, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.008871510910495246, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.6923071876203243, 'DAMPENING': 0.18130033339046972, 'GAMMA': 0.10266384612320159, 'STEP_SIZE': 47}

#####################################################
Current value: 0.7536941170692444, Current params: {'LEARNING_RATE': 0.004587598925291366, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.007598072607998762, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.6751753407262113, 'DAMPENING': 0.1793562186817666, 'GAMMA': 0.11151553953175633, 'STEP_SIZE': 47}
     Best value: 0.6528640591672489, Best params: {'LEARNING_RATE': 0.004482056134733606, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.008871510910495246, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.6923071876203243, 'DAMPENING': 0.18130033339046972, 'GAMMA': 0.10266384612320159, 'STEP_SIZE': 47}

#####################################################
