Current value: 0.9380695394107273, Current params: {'LEARNING_RATE': 0.009746566908056664, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.03399628416149728, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.622622213493705, 'DAMPENING': 0.08167571683351449, 'GAMMA': 0.8166154558253295, 'STEP_SIZE': 16, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 2, 'ALPHA': 0.9837803885152128, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 154, 'ETA': 0.014396760019052046, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 6, 'MAX_GRID_SIZE': 15, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}
     Best value: 0.8275452426501683, Best params: {'LEARNING_RATE': 0.009954596772467714, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.03535424618552506, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6349660220338134, 'DAMPENING': 0.09278734441169971, 'GAMMA': 0.8854963506794107, 'STEP_SIZE': 17, 'USE_AUGMIX': False, 'SEVERITY': 4, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 2, 'ALPHA': 0.9852970276324313, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 152, 'ETA': 0.08216905489656232, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 6, 'MAX_GRID_SIZE': 15, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}

#####################################################
Current value: 0.7711588314601353, Current params: {'LEARNING_RATE': 0.007530288796418601, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.0014294639771176634, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6175641048606609, 'DAMPENING': 0.08924420324043104, 'GAMMA': 0.8637599667520894, 'STEP_SIZE': 17, 'USE_AUGMIX': False, 'SEVERITY': 4, 'MIXTURE_WIDTH': 3, 'CHAIN_DEPTH': 1, 'ALPHA': 0.9477117380962035, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 153, 'ETA': 0.033412551321549085, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 6, 'MAX_GRID_SIZE': 15, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}
     Best value: 0.7711588314601353, Best params: {'LEARNING_RATE': 0.007530288796418601, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.0014294639771176634, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6175641048606609, 'DAMPENING': 0.08924420324043104, 'GAMMA': 0.8637599667520894, 'STEP_SIZE': 17, 'USE_AUGMIX': False, 'SEVERITY': 4, 'MIXTURE_WIDTH': 3, 'CHAIN_DEPTH': 1, 'ALPHA': 0.9477117380962035, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 153, 'ETA': 0.033412551321549085, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 6, 'MAX_GRID_SIZE': 15, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}

#####################################################
Current value: 0.8279537239245006, Current params: {'LEARNING_RATE': 0.007619345494007208, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.0006895688483046651, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.5024349605843017, 'DAMPENING': 0.0886462124918853, 'GAMMA': 0.8933185455925539, 'STEP_SIZE': 18, 'USE_AUGMIX': False, 'SEVERITY': 5, 'MIXTURE_WIDTH': 1, 'CHAIN_DEPTH': 1, 'ALPHA': 0.8383564127507994, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 158, 'ETA': 0.040549066533917016, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 6, 'MAX_GRID_SIZE': 13, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}
     Best value: 0.7711588314601353, Best params: {'LEARNING_RATE': 0.007530288796418601, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.0014294639771176634, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6175641048606609, 'DAMPENING': 0.08924420324043104, 'GAMMA': 0.8637599667520894, 'STEP_SIZE': 17, 'USE_AUGMIX': False, 'SEVERITY': 4, 'MIXTURE_WIDTH': 3, 'CHAIN_DEPTH': 1, 'ALPHA': 0.9477117380962035, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 153, 'ETA': 0.033412551321549085, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 6, 'MAX_GRID_SIZE': 15, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}
