     Best value: 0.5116968846746853, Best params: {'LEARNING_RATE': 0.0027429695508424273, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.023800223538104806, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8391488616327069, 'DAMPENING': 0.14292770092835805, 'GAMMA': 0.3104991433982568, 'STEP_SIZE': 45}

#####################################################
Current value: 0.6038482785224915, Current params: {'LEARNING_RATE': 0.004233600075278864, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.028896565210324757, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8901209057243754, 'DAMPENING': 0.15723154326238528, 'GAMMA': 0.4499693062438921, 'STEP_SIZE': 46}
     Best value: 0.5116968846746853, Best params: {'LEARNING_RATE': 0.0027429695508424273, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.023800223538104806, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8391488616327069, 'DAMPENING': 0.14292770092835805, 'GAMMA': 0.3104991433982568, 'STEP_SIZE': 45}

#####################################################
Current value: 0.5591043329664639, Current params: {'LEARNING_RATE': 0.0030159614430756436, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.014746709747387112, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.746024201658755, 'DAMPENING': 0.17079131211052723, 'GAMMA': 0.23247433210171678, 'STEP_SIZE': 38}
     Best value: 0.5116968846746853, Best params: {'LEARNING_RATE': 0.0027429695508424273, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.023800223538104806, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8391488616327069, 'DAMPENING': 0.14292770092835805, 'GAMMA': 0.3104991433982568, 'STEP_SIZE': 45}

#####################################################
Current value: 0.7808539143630436, Current params: {'LEARNING_RATE': 0.0010740955877122501, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.04178524590580024, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.8530691796070569, 'DAMPENING': 0.1986015458450013, 'GAMMA': 0.3174767591147969, 'STEP_SIZE': 50}
     Best value: 0.5116968846746853, Best params: {'LEARNING_RATE': 0.0027429695508424273, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.023800223538104806, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8391488616327069, 'DAMPENING': 0.14292770092835805, 'GAMMA': 0.3104991433982568, 'STEP_SIZE': 45}

