
#####################################################
Current value: 0.2594704544171691, Current params: {'LEARNING_RATE': 0.0014340892597870599, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.08134099317748525, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7941779860489132, 'DAMPENING': 0.05750660874505838, 'GAMMA': 0.6663825551343425, 'STEP_SIZE': 44, 'USE_AUGMIX': True, 'SEVERITY': 4, 'MIXTURE_WIDTH': 1, 'CHAIN_DEPTH': 1, 'ALPHA': 0.2591989493617042, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 35, 'ETA': 0.28328719549600034, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 6, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}
     Best value: 0.18428320751991123, Best params: {'LEARNING_RATE': 0.0019408708650507352, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.009406748108390551, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7904884131320105, 'DAMPENING': 0.04883709622080726, 'GAMMA': 0.3275101790864133, 'STEP_SIZE': 38, 'USE_AUGMIX': True, 'SEVERITY': 1, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 1, 'ALPHA': 0.3351885832260796, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 198, 'ETA': 0.2691414222705627, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 6, 'MAX_GRID_SIZE': 8, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}

#####################################################
Current value: 0.24192172440234572, Current params: {'LEARNING_RATE': 0.0030042034263866074, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09946640742514976, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7689014768431538, 'DAMPENING': 0.06040817008749387, 'GAMMA': 0.8707788564568955, 'STEP_SIZE': 38, 'USE_AUGMIX': True, 'SEVERITY': 4, 'MIXTURE_WIDTH': 1, 'CHAIN_DEPTH': 1, 'ALPHA': 0.18979891270860205, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 7, 'ETA': 0.3004909947465891, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 7, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}
     Best value: 0.18428320751991123, Best params: {'LEARNING_RATE': 0.0019408708650507352, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.009406748108390551, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7904884131320105, 'DAMPENING': 0.04883709622080726, 'GAMMA': 0.3275101790864133, 'STEP_SIZE': 38, 'USE_AUGMIX': True, 'SEVERITY': 1, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 1, 'ALPHA': 0.3351885832260796, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 198, 'ETA': 0.2691414222705627, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 6, 'MAX_GRID_SIZE': 8, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}

#####################################################
