
#####################################################
Current value: 1.8545431750161308, Current params: {'LEARNING_RATE': 0.00919335989655446, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.08365878117881657, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7983034579917194, 'DAMPENING': 0.04686783033999059, 'GAMMA': 0.7172350092678127, 'STEP_SIZE': 40}
     Best value: 1.7902796098164149, Best params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}

#####################################################
Current value: 1.8960393582071577, Current params: {'LEARNING_RATE': 0.00949482715467094, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.08372705752467201, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8669553336091943, 'DAMPENING': 0.046418417182826584, 'GAMMA': 0.7236576164190068, 'STEP_SIZE': 41}
     Best value: 1.7902796098164149, Best params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}

#####################################################
Current value: 1.9320787957736425, Current params: {'LEARNING_RATE': 0.006703506782588627, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.06509660162776595, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.68041985398466, 'DAMPENING': 0.00460974871368984, 'GAMMA': 0.8823640245546863, 'STEP_SIZE': 32}
     Best value: 1.7902796098164149, Best params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}

#####################################################
Current value: 1.9744593586240495, Current params: {'LEARNING_RATE': 0.007985749584565317, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.07875229242977275, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.7409539998268089, 'DAMPENING': 0.17140561989456607, 'GAMMA': 0.7734217351736942, 'STEP_SIZE': 40}
     Best value: 1.7902796098164149, Best params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}

